"Name","Disabled","FileName","ExportName","Character","Skin","IsPicto","Type","Rarity","LockedForChronos","BundleCode","IsDefaultBattleEmote"
"string","boolean","string","string","string","string","boolean","int","int","boolean","int","boolean"
"emoji_8bit",,"sc/ui.sc","emoji_8bit","Arcade",,TRUE,0,0,,,
"emoji_8bit_angry",,"sc/ui.sc","emoji_8bit_angry","Arcade",,,3,0,,,
"emoji_8bit_gg",,"sc/ui.sc","emoji_8bit_gg","Arcade",,,4,1,,,
"emoji_8bit_sad",,"sc/ui.sc","emoji_8bit_sad","Arcade",,,2,0,,,
"emoji_8bit_thanks",,"sc/ui.sc","emoji_8bit_thanks","Arcade",,,4,2,,,
"emoji_angry",,"sc/ui.sc","emoji_angry",,,,3,0,,,
"emoji_annoyed",,"sc/ui.sc","emoji_annoyed",,,,3,0,,,
"emoji_barley",,"sc/ui.sc","emoji_barley","Barkeep",,TRUE,0,0,,,
"emoji_barley_angry",,"sc/ui.sc","emoji_barley_angry","Barkeep",,,3,0,,,
"emoji_barley_gg",,"sc/ui.sc","emoji_barley_gg","Barkeep",,,4,1,,,
"emoji_barley_sad",,"sc/ui.sc","emoji_barley_sad","Barkeep",,,2,0,,,
"emoji_barley_thanks",,"sc/ui.sc","emoji_barley_thanks","Barkeep",,,4,2,,,
"emoji_bea",,"sc/ui.sc","emoji_bea","BeeSniper",,TRUE,0,0,,,
"emoji_bea_angry",,"sc/ui.sc","emoji_bea_angry","BeeSniper",,,3,0,,,
"emoji_bea_gg",,"sc/ui.sc","emoji_bea_gg","BeeSniper",,,4,1,,,
"emoji_bea_sad",,"sc/ui.sc","emoji_bea_sad","BeeSniper",,,2,0,,,
"emoji_bea_thanks",,"sc/ui.sc","emoji_bea_thanks","BeeSniper",,,4,2,,,
"emoji_bibi",,"sc/ui.sc","emoji_bibi","Baseball",,TRUE,0,0,,,
"emoji_bibi_angry",,"sc/ui.sc","emoji_bibi_angry","Baseball",,,3,0,,,
"emoji_bibi_gg",,"sc/ui.sc","emoji_bibi_gg","Baseball",,,4,1,,,
"emoji_bibi_sad",,"sc/ui.sc","emoji_bibi_sad","Baseball",,,2,0,,,
"emoji_bibi_thanks",,"sc/ui.sc","emoji_bibi_thanks","Baseball",,,4,2,,,
"emoji_blank",,"sc/ui.sc","emoji_blank",,,,4,,,,
"emoji_bo",,"sc/ui.sc","emoji_bo","BowDude",,TRUE,0,0,,,
"emoji_bo_angry",,"sc/ui.sc","emoji_bo_angry","BowDude",,,3,0,,,
"emoji_bo_gg",,"sc/ui.sc","emoji_bo_gg","BowDude",,,4,1,,,
"emoji_bo_sad",,"sc/ui.sc","emoji_bo_sad","BowDude",,,2,0,,,
"emoji_bo_thanks",,"sc/ui.sc","emoji_bo_thanks","BowDude",,,4,2,,,
"emoji_bothered",,"sc/ui.sc","emoji_bothered",,,,4,,,,
"emoji_brock",,"sc/ui.sc","emoji_brock","RocketGirl",,TRUE,0,0,,,
"emoji_brock_angry",,"sc/ui.sc","emoji_brock_angry","RocketGirl",,,3,0,,,
"emoji_brock_gg",,"sc/ui.sc","emoji_brock_gg","RocketGirl",,,4,1,,,
"emoji_brock_sad",,"sc/ui.sc","emoji_brock_sad","RocketGirl",,,2,0,,,
"emoji_brock_thanks",,"sc/ui.sc","emoji_brock_thanks","RocketGirl",,,4,2,,,
"emoji_bull",,"sc/ui.sc","emoji_bull","BullDude",,TRUE,0,0,,,
"emoji_bull_angry",,"sc/ui.sc","emoji_bull_angry","BullDude",,,3,0,,,
"emoji_bull_gg",,"sc/ui.sc","emoji_bull_gg","BullDude",,,4,1,,,
"emoji_bull_sad",,"sc/ui.sc","emoji_bull_sad","BullDude",,,2,0,,,
"emoji_bull_thanks",,"sc/ui.sc","emoji_bull_thanks","BullDude",,,4,2,,,
"emoji_carl",,"sc/ui.sc","emoji_carl","Whirlwind",,TRUE,0,0,,,
"emoji_carl_angry",,"sc/ui.sc","emoji_carl_angry","Whirlwind",,,3,0,,,
"emoji_carl_gg",,"sc/ui.sc","emoji_carl_gg","Whirlwind",,,4,1,,,
"emoji_carl_sad",,"sc/ui.sc","emoji_carl_sad","Whirlwind",,,2,0,,,
"emoji_carl_thanks",,"sc/ui.sc","emoji_carl_thanks","Whirlwind",,,4,2,,,
"emoji_colt",,"sc/ui.sc","emoji_colt","Gunslinger",,TRUE,0,0,,,
"emoji_colt_angry",,"sc/ui.sc","emoji_colt_angry","Gunslinger",,,3,0,,,
"emoji_colt_gg",,"sc/ui.sc","emoji_colt_gg","Gunslinger",,,4,1,,,
"emoji_colt_sad",,"sc/ui.sc","emoji_colt_sad","Gunslinger",,,2,0,,,
"emoji_colt_thanks",,"sc/ui.sc","emoji_colt_thanks","Gunslinger",,,4,2,,,
"emoji_crow",,"sc/ui.sc","emoji_crow","Crow",,TRUE,0,0,,,
"emoji_crow_angry",,"sc/ui.sc","emoji_crow_angry","Crow",,,3,0,,,
"emoji_crow_gg",,"sc/ui.sc","emoji_crow_gg","Crow",,,4,1,,,
"emoji_crow_sad",,"sc/ui.sc","emoji_crow_sad","Crow",,,2,0,,,
"emoji_crow_thanks",,"sc/ui.sc","emoji_crow_thanks","Crow",,,4,2,,,
"emoji_darryl",,"sc/ui.sc","emoji_darryl","BarrelBot",,TRUE,0,0,,,
"emoji_darryl_angry",,"sc/ui.sc","emoji_darryl_angry","BarrelBot",,,3,0,,,
"emoji_darryl_gg",,"sc/ui.sc","emoji_darryl_gg","BarrelBot",,,4,1,,,
"emoji_darryl_sad",,"sc/ui.sc","emoji_darryl_sad","BarrelBot",,,2,0,,,
"emoji_darryl_thanks",,"sc/ui.sc","emoji_darryl_thanks","BarrelBot",,,4,2,,,
"emoji_dynamike",,"sc/ui.sc","emoji_dynamike","TntDude",,TRUE,0,0,,,
"emoji_dynamike_angry",,"sc/ui.sc","emoji_dynamike_angry","TntDude",,,3,0,,,
"emoji_dynamike_gg",,"sc/ui.sc","emoji_dynamike_gg","TntDude",,,4,1,,,
"emoji_dynamike_sad",,"sc/ui.sc","emoji_dynamike_sad","TntDude",,,2,0,,,
"emoji_dynamike_thanks",,"sc/ui.sc","emoji_dynamike_thanks","TntDude",,,4,2,,,
"emoji_ecstatic",,"sc/ui.sc","emoji_ecstatic",,,,4,,,,
"emoji_emz",,"sc/ui.sc","emoji_emz","Mummy",,TRUE,0,0,,,
"emoji_emz_angry",,"sc/ui.sc","emoji_emz_angry","Mummy",,,3,0,,,
"emoji_emz_gg",,"sc/ui.sc","emoji_emz_gg","Mummy",,,4,1,,,
"emoji_emz_sad",,"sc/ui.sc","emoji_emz_sad","Mummy",,,2,0,,,
"emoji_emz_thanks",,"sc/ui.sc","emoji_emz_thanks","Mummy",,,4,2,,,
"emoji_frank",,"sc/ui.sc","emoji_frank","HammerDude",,TRUE,0,0,,,
"emoji_frank_angry",,"sc/ui.sc","emoji_frank_angry","HammerDude",,,3,0,,,
"emoji_frank_gg",,"sc/ui.sc","emoji_frank_gg","HammerDude",,,4,1,,,
"emoji_frank_sad",,"sc/ui.sc","emoji_frank_sad","HammerDude",,,2,0,,,
"emoji_frank_thanks",,"sc/ui.sc","emoji_frank_thanks","HammerDude",,,4,2,,,
"emoji_frenzied",,"sc/ui.sc","emoji_frenzied",,,,4,,,,
"emoji_gene",,"sc/ui.sc","emoji_gene","HookDude",,TRUE,0,0,,,
"emoji_gene_angry",,"sc/ui.sc","emoji_gene_angry","HookDude",,,3,0,,,
"emoji_gene_gg",,"sc/ui.sc","emoji_gene_gg","HookDude",,,4,1,,,
"emoji_gene_sad",,"sc/ui.sc","emoji_gene_sad","HookDude",,,2,0,,,
"emoji_gene_thanks",,"sc/ui.sc","emoji_gene_thanks","HookDude",,,4,2,,,
"emoji_grin",,"sc/ui.sc","emoji_grin",,,,4,,,,
"emoji_happy",,"sc/ui.sc","emoji_happy",,,,1,0,,,
"emoji_jacky",,"sc/ui.sc","emoji_jacky","Driller",,TRUE,0,0,,,
"emoji_jacky_angry",,"sc/ui.sc","emoji_jacky_angry","Driller",,,3,0,,,
"emoji_jacky_gg",,"sc/ui.sc","emoji_jacky_gg","Driller",,,4,1,,,
"emoji_jacky_sad",,"sc/ui.sc","emoji_jacky_sad","Driller",,,2,0,,,
"emoji_jacky_thanks",,"sc/ui.sc","emoji_jacky_thanks","Driller",,,4,2,,,
"emoji_jessie",,"sc/ui.sc","emoji_jessie","Mechanic",,TRUE,0,0,,,
"emoji_jessie_angry",,"sc/ui.sc","emoji_jessie_angry","Mechanic",,,3,0,,,
"emoji_jessie_gg",,"sc/ui.sc","emoji_jessie_gg","Mechanic",,,4,1,,,
"emoji_jessie_sad",,"sc/ui.sc","emoji_jessie_sad","Mechanic",,,2,0,,,
"emoji_jessie_thanks",,"sc/ui.sc","emoji_jessie_thanks","Mechanic",,,4,2,,,
"emoji_laugh",,"sc/ui.sc","emoji_laugh",,,,4,,,,
"emoji_leon",,"sc/ui.sc","emoji_leon","Ninja",,TRUE,0,0,,,
"emoji_leon_angry",,"sc/ui.sc","emoji_leon_angry","Ninja",,,3,0,,,
"emoji_leon_gg",,"sc/ui.sc","emoji_leon_gg","Ninja",,,4,1,,,
"emoji_leon_sad",,"sc/ui.sc","emoji_leon_sad","Ninja",,,2,0,,,
"emoji_leon_thanks",,"sc/ui.sc","emoji_leon_thanks","Ninja",,,4,2,,,
"emoji_mortis",,"sc/ui.sc","emoji_mortis","Undertaker",,TRUE,0,0,,,
"emoji_mortis_angry",,"sc/ui.sc","emoji_mortis_angry","Undertaker",,,3,0,,,
"emoji_mortis_gg",,"sc/ui.sc","emoji_mortis_gg","Undertaker",,,4,1,,,
"emoji_mortis_sad",,"sc/ui.sc","emoji_mortis_sad","Undertaker",,,2,0,,,
"emoji_mortis_thanks",,"sc/ui.sc","emoji_mortis_thanks","Undertaker",,,4,2,,,
"emoji_nita",,"sc/ui.sc","emoji_nita","Shaman",,TRUE,0,0,,,
"emoji_nita_angry",,"sc/ui.sc","emoji_nita_angry","Shaman",,,3,0,,,
"emoji_nita_gg",,"sc/ui.sc","emoji_nita_gg","Shaman",,,4,1,,,
"emoji_nita_sad",,"sc/ui.sc","emoji_nita_sad","Shaman",,,2,0,,,
"emoji_nita_thanks",,"sc/ui.sc","emoji_nita_thanks","Shaman",,,4,2,,,
"emoji_pam",,"sc/ui.sc","emoji_pam","MinigunDude",,TRUE,0,0,,,
"emoji_pam_angry",,"sc/ui.sc","emoji_pam_angry","MinigunDude",,,3,0,,,
"emoji_pam_gg",,"sc/ui.sc","emoji_pam_gg","MinigunDude",,,4,1,,,
"emoji_pam_sad",,"sc/ui.sc","emoji_pam_sad","MinigunDude",,,2,0,,,
"emoji_pam_thanks",,"sc/ui.sc","emoji_pam_thanks","MinigunDude",,,4,2,,,
"emoji_penny",,"sc/ui.sc","emoji_penny","ArtilleryDude",,TRUE,0,0,,,
"emoji_penny_angry",,"sc/ui.sc","emoji_penny_angry","ArtilleryDude",,,3,0,,,
"emoji_penny_gg",,"sc/ui.sc","emoji_penny_gg","ArtilleryDude",,,4,1,,,
"emoji_penny_sad",,"sc/ui.sc","emoji_penny_sad","ArtilleryDude",,,2,0,,,
"emoji_penny_thanks",,"sc/ui.sc","emoji_penny_thanks","ArtilleryDude",,,4,2,,,
"emoji_piper",,"sc/ui.sc","emoji_piper","Sniper",,TRUE,0,0,,,
"emoji_piper_angry",,"sc/ui.sc","emoji_piper_angry","Sniper",,,3,0,,,
"emoji_piper_gg",,"sc/ui.sc","emoji_piper_gg","Sniper",,,4,1,,,
